,revenu,answer,count,total,value
0,Je préfère ne pas répondre,La défense des droits humains,121,8940,0.0135346756152
1,Je préfère ne pas répondre,La justice sociale,109,8940,0.012192393736
2,Je préfère ne pas répondre,La liberté de la presse et d’expression,259,8940,0.028970917226
3,Je préfère ne pas répondre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",605,8940,0.0676733780761
4,Je préfère ne pas répondre,La politique étrangère,533,8940,0.0596196868009
5,Je préfère ne pas répondre,La protection de l'environnement,99,8940,0.0110738255034
6,Je préfère ne pas répondre,La religion,1785,8940,0.19966442953
7,Je préfère ne pas répondre,La santé,34,8940,0.00380313199105
8,Je préfère ne pas répondre,"La sécurité, le terrorisme",1065,8940,0.119127516779
9,Je préfère ne pas répondre,La transparence en politique,475,8940,0.0531319910515
10,Je préfère ne pas répondre,Le handicap,65,8940,0.0072706935123
11,Je préfère ne pas répondre,Le logement,91,8940,0.0101789709172
12,Je préfère ne pas répondre,Le vivre ensemble,308,8940,0.034451901566
13,Je préfère ne pas répondre,Les droits des animaux,400,8940,0.0447427293065
14,Je préfère ne pas répondre,Les droits des femmes,84,8940,0.00939597315436
15,Je préfère ne pas répondre,Les droits des personnes LGBT,441,8940,0.0493288590604
16,Je préfère ne pas répondre,L’accueil des migrants,1523,8940,0.170357941834
17,Je préfère ne pas répondre,L’emploi,189,8940,0.0211409395973
18,Je préfère ne pas répondre,L’économie,653,8940,0.0730425055928
19,Je préfère ne pas répondre,L’éducation,101,8940,0.0112975391499
20,Jusqu'à 9 700 euros,La défense des droits humains,61,5274,0.0115661736822
21,Jusqu'à 9 700 euros,La justice sociale,62,5274,0.0117557830868
22,Jusqu'à 9 700 euros,La liberté de la presse et d’expression,118,5274,0.0223739097459
23,Jusqu'à 9 700 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",299,5274,0.0566932119833
24,Jusqu'à 9 700 euros,La politique étrangère,337,5274,0.0638983693591
25,Jusqu'à 9 700 euros,La protection de l'environnement,60,5274,0.0113765642776
26,Jusqu'à 9 700 euros,La religion,1012,5274,0.191884717482
27,Jusqu'à 9 700 euros,La santé,16,5274,0.00303375047402
28,Jusqu'à 9 700 euros,"La sécurité, le terrorisme",1010,5274,0.191505498673
29,Jusqu'à 9 700 euros,La transparence en politique,230,5274,0.0436101630641
30,Jusqu'à 9 700 euros,Le handicap,31,5274,0.00587789154342
31,Jusqu'à 9 700 euros,Le logement,21,5274,0.00398179749716
32,Jusqu'à 9 700 euros,Le vivre ensemble,112,5274,0.0212362533182
33,Jusqu'à 9 700 euros,Les droits des animaux,183,5274,0.0346985210466
34,Jusqu'à 9 700 euros,Les droits des femmes,43,5274,0.00815320439894
35,Jusqu'à 9 700 euros,Les droits des personnes LGBT,183,5274,0.0346985210466
36,Jusqu'à 9 700 euros,L’accueil des migrants,854,5274,0.161926431551
37,Jusqu'à 9 700 euros,L’emploi,135,5274,0.0255972696246
38,Jusqu'à 9 700 euros,L’économie,446,5274,0.0845657944634
39,Jusqu'à 9 700 euros,L’éducation,61,5274,0.0115661736822
40,au-delà de 152 108 euros,La défense des droits humains,4,195,0.0205128205128
41,au-delà de 152 108 euros,La justice sociale,3,195,0.0153846153846
42,au-delà de 152 108 euros,La liberté de la presse et d’expression,4,195,0.0205128205128
43,au-delà de 152 108 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",21,195,0.107692307692
44,au-delà de 152 108 euros,La politique étrangère,5,195,0.025641025641
45,au-delà de 152 108 euros,La protection de l'environnement,2,195,0.0102564102564
46,au-delà de 152 108 euros,La religion,27,195,0.138461538462
47,au-delà de 152 108 euros,La santé,1,195,0.00512820512821
48,au-delà de 152 108 euros,"La sécurité, le terrorisme",19,195,0.0974358974359
49,au-delà de 152 108 euros,La transparence en politique,5,195,0.025641025641
50,au-delà de 152 108 euros,Le logement,1,195,0.00512820512821
51,au-delà de 152 108 euros,Le vivre ensemble,7,195,0.0358974358974
52,au-delà de 152 108 euros,Les droits des animaux,14,195,0.0717948717949
53,au-delà de 152 108 euros,Les droits des femmes,5,195,0.025641025641
54,au-delà de 152 108 euros,Les droits des personnes LGBT,19,195,0.0974358974359
55,au-delà de 152 108 euros,L’accueil des migrants,37,195,0.189743589744
56,au-delà de 152 108 euros,L’emploi,5,195,0.025641025641
57,au-delà de 152 108 euros,L’économie,15,195,0.0769230769231
58,au-delà de 152 108 euros,L’éducation,1,195,0.00512820512821
59,de 26 791 à 71 826 euros,La défense des droits humains,126,12378,0.0101793504605
60,de 26 791 à 71 826 euros,La justice sociale,139,12378,0.0112296009048
61,de 26 791 à 71 826 euros,La liberté de la presse et d’expression,231,12378,0.0186621425109
