,age,answer,count,total,value
0,36-40,HONNÊTE,613,3098,0.19786959328599096
1,36-40,INTÈGRE,170,3098,0.05487411233053583
2,36-40,JUSTE,95,3098,0.03066494512588767
3,36-40,HUMAIN,87,3098,0.028082633957391866
4,36-40,HONNÊTETÉ,82,3098,0.02646868947708199
5,36-40,SINCÈRE,64,3098,0.02065848934796643
6,36-40,HUMANISTE,61,3098,0.019690122659780502
7,36-40,RÉALISTE,53,3098,0.0171078114912847
8,36-40,VISIONNAIRE,47,3098,0.015171078114912848
9,36-40,COMPÉTENT,47,3098,0.015171078114912848
10,36-40,COURAGEUX,44,3098,0.014202711426726921
11,36-40,EFFICACE,42,3098,0.01355713363460297
12,36-40,À L'ÉCOUTE,38,3098,0.012265978050355068
13,36-40,RESPONSABLE,38,3098,0.012265978050355068
14,36-40,ALTRUISTE,32,3098,0.010329244673983214
15,36-40,PRAGMATIQUE,28,3098,0.009038089089735314
16,36-40,INDÉPENDANT,26,3098,0.008392511297611363
17,36-40,INTÉGRITÉ,24,3098,0.007746933505487412
18,36-40,LE PEN,23,3098,0.007424144609425436
19,36-40,INCORRUPTIBLE,23,3098,0.007424144609425436
20,36-40,LOYAL,22,3098,0.0071013557133634605
21,36-40,FIABLE,20,3098,0.006455777921239509
22,36-40,DROIT,19,3098,0.006132989025177534
23,36-40,CITOYEN,17,3098,0.005487411233053583
24,36-40,INTELLIGENT,17,3098,0.005487411233053583
25,36-40,FRANC,17,3098,0.005487411233053583
26,36-40,RASSEMBLEUR,16,3098,0.005164622336991607
27,36-40,ENGAGÉ,16,3098,0.005164622336991607
28,36-40,DÉSINTÉRESSÉ,15,3098,0.004841833440929632
29,36-40,TRANSPARENT,15,3098,0.004841833440929632
30,36-40,ATTENTIF,14,3098,0.004519044544867657
31,36-40,IRRÉPROCHABLE,14,3098,0.004519044544867657
32,36-40,RESPECTUEUX,13,3098,0.004196255648805681
33,36-40,VRAI,13,3098,0.004196255648805681
34,36-40,BIENVEILLANT,13,3098,0.004196255648805681
35,36-40,UNE FEMME,12,3098,0.003873466752743706
36,36-40,VÉRITÉ,12,3098,0.003873466752743706
37,36-40,OUVERT,12,3098,0.003873466752743706
38,36-40,HUMBLE,11,3098,0.0035506778566817302
39,36-40,ÉCOLOGISTE,11,3098,0.0035506778566817302
40,36-40,PATRIOTE,11,3098,0.0035506778566817302
41,36-40,INNOVANT,11,3098,0.0035506778566817302
42,36-40,LUCIDE,10,3098,0.0032278889606197547
43,36-40,DÉTERMINÉ,10,3098,0.0032278889606197547
44,36-40,CHARISMATIQUE,10,3098,0.0032278889606197547
45,36-40,MÉLENCHON,10,3098,0.0032278889606197547
46,36-40,RÉFORMATEUR,9,3098,0.002905100064557779
47,36-40,MOI,9,3098,0.002905100064557779
48,36-40,CONCRET,9,3098,0.002905100064557779
49,36-40,EMPATHIQUE,8,3098,0.0025823111684958036
