,commune,answer,count,total,value
0,20 000 à 100 000 habitants,"""humain""!!!!",1,8337,0.000119947223222
1,20 000 à 100 000 habitants,"""populiste""",1,8337,0.000119947223222
2,20 000 à 100 000 habitants,*****,1,8337,0.000119947223222
3,20 000 à 100 000 habitants,", éthique,",1,8337,0.000119947223222
4,20 000 à 100 000 habitants,-impôts,1,8337,0.000119947223222
5,20 000 à 100 000 habitants,.honnète,1,8337,0.000119947223222
6,20 000 à 100 000 habitants,60ans,1,8337,0.000119947223222
7,20 000 à 100 000 habitants,6e république,1,8337,0.000119947223222
8,20 000 à 100 000 habitants,6eme republique,1,8337,0.000119947223222
9,20 000 à 100 000 habitants,:barak obama,1,8337,0.000119947223222
10,20 000 à 100 000 habitants,??????????????,1,8337,0.000119947223222
11,20 000 à 100 000 habitants,a gauche,1,8337,0.000119947223222
12,20 000 à 100 000 habitants,a l ecoute,3,8337,0.000359841669665
13,20 000 à 100 000 habitants,a l''ecoute,1,8337,0.000119947223222
14,20 000 à 100 000 habitants,a l'ecoute,10,8337,0.00119947223222
15,20 000 à 100 000 habitants,a l'écoute,43,8337,0.00515773059854
16,20 000 à 100 000 habitants,a l'écoute !,2,8337,0.000239894446444
17,20 000 à 100 000 habitants,aaccessible,1,8337,0.000119947223222
18,20 000 à 100 000 habitants,abnegation,1,8337,0.000119947223222
19,20 000 à 100 000 habitants,abnegationiste,1,8337,0.000119947223222
20,20 000 à 100 000 habitants,abnégation,3,8337,0.000359841669665
21,20 000 à 100 000 habitants,abordable,1,8337,0.000119947223222
22,20 000 à 100 000 habitants,absent,1,8337,0.000119947223222
23,20 000 à 100 000 habitants,accessible,3,8337,0.000359841669665
24,20 000 à 100 000 habitants,acharnement,1,8337,0.000119947223222
25,20 000 à 100 000 habitants,actif,16,8337,0.00191915557155
26,20 000 à 100 000 habitants,actif et franc,1,8337,0.000119947223222
27,20 000 à 100 000 habitants,action,7,8337,0.000839630562552
28,20 000 à 100 000 habitants,adaptable,2,8337,0.000239894446444
29,20 000 à 100 000 habitants,adéquat,1,8337,0.000119947223222
30,20 000 à 100 000 habitants,afrofeministe,1,8337,0.000119947223222
31,20 000 à 100 000 habitants,agir,2,8337,0.000239894446444
32,20 000 à 100 000 habitants,agissant,1,8337,0.000119947223222
33,20 000 à 100 000 habitants,agissement,1,8337,0.000119947223222
34,20 000 à 100 000 habitants,agit pour peupl,1,8337,0.000119947223222
35,20 000 à 100 000 habitants,agréable,1,8337,0.000119947223222
36,20 000 à 100 000 habitants,aimant,1,8337,0.000119947223222
37,20 000 à 100 000 habitants,aimer la france,1,8337,0.000119947223222
38,20 000 à 100 000 habitants,alain juppé,1,8337,0.000119947223222
39,20 000 à 100 000 habitants,altermondialist,4,8337,0.000479788892887
40,20 000 à 100 000 habitants,altruisme,10,8337,0.00119947223222
41,20 000 à 100 000 habitants,altruiste,95,8337,0.0113949862061
42,20 000 à 100 000 habitants,ambitieux,6,8337,0.000719683339331
43,20 000 à 100 000 habitants,amout,1,8337,0.000119947223222
44,20 000 à 100 000 habitants,ampathie,1,8337,0.000119947223222
45,20 000 à 100 000 habitants,ampathique,1,8337,0.000119947223222
46,20 000 à 100 000 habitants,améliorer vie,1,8337,0.000119947223222
47,20 000 à 100 000 habitants,analyste,2,8337,0.000239894446444
48,20 000 à 100 000 habitants,anarchiste,7,8337,0.000839630562552
49,20 000 à 100 000 habitants,angela merkel,1,8337,0.000119947223222
50,20 000 à 100 000 habitants,anonyme,1,8337,0.000119947223222
51,20 000 à 100 000 habitants,anthropophile,1,8337,0.000119947223222
52,20 000 à 100 000 habitants,anti ecolo,1,8337,0.000119947223222
53,20 000 à 100 000 habitants,anti lobbyist,1,8337,0.000119947223222
54,20 000 à 100 000 habitants,anti néolibéral,1,8337,0.000119947223222
55,20 000 à 100 000 habitants,anti ue,1,8337,0.000119947223222
56,20 000 à 100 000 habitants,anti-libéral,2,8337,0.000239894446444
57,20 000 à 100 000 habitants,anti-lobbiste,2,8337,0.000239894446444
58,20 000 à 100 000 habitants,anti-lobbyiste,1,8337,0.000119947223222
59,20 000 à 100 000 habitants,anti-sioniste,1,8337,0.000119947223222
60,20 000 à 100 000 habitants,anticapitalise,1,8337,0.000119947223222
61,20 000 à 100 000 habitants,anticapitaliste,15,8337,0.00179920834833
62,20 000 à 100 000 habitants,anticipateur,2,8337,0.000239894446444
63,20 000 à 100 000 habitants,anticorruption,1,8337,0.000119947223222
64,20 000 à 100 000 habitants,antifasciste,1,8337,0.000119947223222
65,20 000 à 100 000 habitants,antilibéral,1,8337,0.000119947223222
66,20 000 à 100 000 habitants,antilobbies,1,8337,0.000119947223222
67,20 000 à 100 000 habitants,antimafia,1,8337,0.000119947223222
68,20 000 à 100 000 habitants,antimarché,1,8337,0.000119947223222
69,20 000 à 100 000 habitants,antimondialiste,1,8337,0.000119947223222
70,20 000 à 100 000 habitants,antinucléaire !,1,8337,0.000119947223222
71,20 000 à 100 000 habitants,antinéo-libéral,1,8337,0.000119947223222
72,20 000 à 100 000 habitants,antinéolibéral,1,8337,0.000119947223222
73,20 000 à 100 000 habitants,antisioniste,1,8337,0.000119947223222
74,20 000 à 100 000 habitants,antispeciste,1,8337,0.000119947223222
75,20 000 à 100 000 habitants,antispéciste,1,8337,0.000119947223222
76,20 000 à 100 000 habitants,antisytéme,1,8337,0.000119947223222
77,20 000 à 100 000 habitants,apolitique,14,8337,0.0016792611251
78,20 000 à 100 000 habitants,article 1 ddhc,1,8337,0.000119947223222
79,20 000 à 100 000 habitants,asselineau,3,8337,0.000359841669665
80,20 000 à 100 000 habitants,assertif,1,8337,0.000119947223222
81,20 000 à 100 000 habitants,assumer,1,8337,0.000119947223222
82,20 000 à 100 000 habitants,assurance,1,8337,0.000119947223222
83,20 000 à 100 000 habitants,athée,1,8337,0.000119947223222
84,20 000 à 100 000 habitants,attente fançais,1,8337,0.000119947223222
85,20 000 à 100 000 habitants,attentif,35,8337,0.00419815281276
86,20 000 à 100 000 habitants,attentif!,1,8337,0.000119947223222
87,20 000 à 100 000 habitants,attentionné,1,8337,0.000119947223222
88,20 000 à 100 000 habitants,attentive,1,8337,0.000119947223222
89,20 000 à 100 000 habitants,attirant,1,8337,0.000119947223222
90,20 000 à 100 000 habitants,aucun,18,8337,0.00215905001799
91,20 000 à 100 000 habitants,aucune idée,1,8337,0.000119947223222
92,20 000 à 100 000 habitants,aucunprésident,1,8337,0.000119947223222
93,20 000 à 100 000 habitants,audace,3,8337,0.000359841669665
94,20 000 à 100 000 habitants,audacieux,22,8337,0.00263883891088
95,20 000 à 100 000 habitants,audacieux(se),1,8337,0.000119947223222
96,20 000 à 100 000 habitants,audacieux-euse,1,8337,0.000119947223222
97,20 000 à 100 000 habitants,auditeur,1,8337,0.000119947223222
98,20 000 à 100 000 habitants,autentique,1,8337,0.000119947223222
99,20 000 à 100 000 habitants,authenticite,1,8337,0.000119947223222
100,20 000 à 100 000 habitants,authenticité,1,8337,0.000119947223222
101,20 000 à 100 000 habitants,authentique,10,8337,0.00119947223222
102,20 000 à 100 000 habitants,auto-gestion,1,8337,0.000119947223222
103,20 000 à 100 000 habitants,autodidacte,1,8337,0.000119947223222
104,20 000 à 100 000 habitants,autonome,1,8337,0.000119947223222
105,20 000 à 100 000 habitants,autonomie,1,8337,0.000119947223222
106,20 000 à 100 000 habitants,autoritaire,3,8337,0.000359841669665
107,20 000 à 100 000 habitants,autorite,1,8337,0.000119947223222
108,20 000 à 100 000 habitants,autorité,6,8337,0.000719683339331
109,20 000 à 100 000 habitants,autre,1,8337,0.000119947223222
110,20 000 à 100 000 habitants,avant-gardiste,2,8337,0.000239894446444
