,revenu,answer,count,total,value
0,Je préfère ne pas répondre,HONNÊTE,1623,8796,0.1845156889495225
1,Je préfère ne pas répondre,INTÈGRE,476,8796,0.05411550704865848
2,Je préfère ne pas répondre,JUSTE,285,8796,0.03240109140518418
3,Je préfère ne pas répondre,HUMAIN,243,8796,0.02762619372442019
4,Je préfère ne pas répondre,HONNÊTETÉ,203,8796,0.02307867212369259
5,Je préfère ne pas répondre,SINCÈRE,179,8796,0.020350159163256026
6,Je préfère ne pas répondre,HUMANISTE,174,8796,0.019781718963165076
7,Je préfère ne pas répondre,RÉALISTE,159,8796,0.018076398362892224
8,Je préfère ne pas répondre,À L'ÉCOUTE,146,8796,0.016598453842655753
9,Je préfère ne pas répondre,EFFICACE,133,8796,0.015120509322419281
10,Je préfère ne pas répondre,COMPÉTENT,133,8796,0.015120509322419281
11,Je préfère ne pas répondre,VISIONNAIRE,129,8796,0.014665757162346521
12,Je préfère ne pas répondre,COURAGEUX,129,8796,0.014665757162346521
13,Je préfère ne pas répondre,RESPONSABLE,103,8796,0.011709868121873579
14,Je préfère ne pas répondre,PRAGMATIQUE,94,8796,0.010686675761709868
15,Je préfère ne pas répondre,ALTRUISTE,85,8796,0.009663483401546158
16,Je préfère ne pas répondre,INTÉGRITÉ,63,8796,0.007162346521145975
17,Je préfère ne pas répondre,LE PEN,62,8796,0.007048658481127785
18,Je préfère ne pas répondre,INDÉPENDANT,61,8796,0.006934970441109595
19,Je préfère ne pas répondre,OUVERT,59,8796,0.0067075943610732155
20,Je préfère ne pas répondre,LOYAL,57,8796,0.006480218281036835
21,Je préfère ne pas répondre,INCORRUPTIBLE,55,8796,0.006252842201000455
22,Je préfère ne pas répondre,CITOYEN,53,8796,0.006025466120964075
23,Je préfère ne pas répondre,INTELLIGENT,51,8796,0.005798090040927694
24,Je préfère ne pas répondre,VRAI,50,8796,0.005684402000909504
25,Je préfère ne pas répondre,ENGAGÉ,48,8796,0.005457025920873124
26,Je préfère ne pas répondre,DÉSINTÉRESSÉ,48,8796,0.005457025920873124
27,Je préfère ne pas répondre,FIABLE,47,8796,0.005343337880854934
28,Je préfère ne pas répondre,FRANC,45,8796,0.005115961800818554
29,Je préfère ne pas répondre,HUMBLE,41,8796,0.004661209640745794
30,Je préfère ne pas répondre,MÉLENCHON,40,8796,0.004547521600727604
31,Je préfère ne pas répondre,ATTENTIF,39,8796,0.004433833560709414
32,Je préfère ne pas répondre,UNE FEMME,39,8796,0.004433833560709414
33,Je préfère ne pas répondre,BIENVEILLANT,37,8796,0.004206457480673033
34,Je préfère ne pas répondre,PATRIOTE,35,8796,0.003979081400636653
35,Je préfère ne pas répondre,EXEMPLAIRE,34,8796,0.003865393360618463
36,Je préfère ne pas répondre,EMPATHIQUE,34,8796,0.003865393360618463
37,Je préfère ne pas répondre,ÉCOLOGISTE,34,8796,0.003865393360618463
38,Je préfère ne pas répondre,TRANSPARENT,33,8796,0.003751705320600273
39,Je préfère ne pas répondre,RASSEMBLEUR,32,8796,0.0036380172805820826
40,Je préfère ne pas répondre,INNOVANT,30,8796,0.0034106412005457027
41,Je préfère ne pas répondre,JEUNE,30,8796,0.0034106412005457027
42,Je préfère ne pas répondre,DROIT,28,8796,0.0031832651205093224
43,Je préfère ne pas répondre,DÉTERMINÉ,28,8796,0.0031832651205093224
44,Je préfère ne pas répondre,CONCRET,26,8796,0.0029558890404729424
45,Je préfère ne pas répondre,SINCÉRITÉ,25,8796,0.002842201000454752
46,Je préfère ne pas répondre,PROBITÉ,25,8796,0.002842201000454752
47,Je préfère ne pas répondre,LIBRE,24,8796,0.002728512960436562
48,Je préfère ne pas répondre,IRRÉPROCHABLE,24,8796,0.002728512960436562
49,Je préfère ne pas répondre,SOCIAL,23,8796,0.002614824920418372
50,de 9 700 à 26 791 euros,HONNÊTE,2699,14506,0.18606094030056528
51,de 9 700 à 26 791 euros,INTÈGRE,711,14506,0.049014201020267475
52,de 9 700 à 26 791 euros,JUSTE,438,14506,0.03019440231628292
53,de 9 700 à 26 791 euros,HUMAIN,405,14506,0.027919481593823247
54,de 9 700 à 26 791 euros,HONNÊTETÉ,382,14506,0.026333930787260443
55,de 9 700 à 26 791 euros,HUMANISTE,307,14506,0.021163656418033916
56,de 9 700 à 26 791 euros,SINCÈRE,287,14506,0.019784916586240178
57,de 9 700 à 26 791 euros,COURAGEUX,250,14506,0.017234247897421756
58,de 9 700 à 26 791 euros,À L'ÉCOUTE,241,14506,0.016613814973114573
59,de 9 700 à 26 791 euros,EFFICACE,241,14506,0.016613814973114573
60,de 9 700 à 26 791 euros,RÉALISTE,237,14506,0.016338067006755826
61,de 9 700 à 26 791 euros,COMPÉTENT,217,14506,0.014959327174962084
62,de 9 700 à 26 791 euros,VISIONNAIRE,190,14506,0.013098028402040536
63,de 9 700 à 26 791 euros,ALTRUISTE,177,14506,0.012201847511374604
64,de 9 700 à 26 791 euros,PRAGMATIQUE,165,14506,0.01137460361229836
65,de 9 700 à 26 791 euros,RESPONSABLE,154,14506,0.010616296704811802
66,de 9 700 à 26 791 euros,INCORRUPTIBLE,116,14506,0.007996691024403695
67,de 9 700 à 26 791 euros,INDÉPENDANT,104,14506,0.0071694471253274505
68,de 9 700 à 26 791 euros,CITOYEN,93,14506,0.006411140217840894
69,de 9 700 à 26 791 euros,INTÉGRITÉ,93,14506,0.006411140217840894
70,de 9 700 à 26 791 euros,FRANC,90,14506,0.006204329243071832
71,de 9 700 à 26 791 euros,VRAI,89,14506,0.006135392251482145
72,de 9 700 à 26 791 euros,LE PEN,85,14506,0.005859644285123397
73,de 9 700 à 26 791 euros,HUMBLE,84,14506,0.00579070729353371
74,de 9 700 à 26 791 euros,FIABLE,84,14506,0.00579070729353371
75,de 9 700 à 26 791 euros,INTELLIGENT,80,14506,0.005514959327174962
76,de 9 700 à 26 791 euros,DROIT,77,14506,0.005308148352405901
77,de 9 700 à 26 791 euros,DÉSINTÉRESSÉ,72,14506,0.004963463394457466
78,de 9 700 à 26 791 euros,BIENVEILLANT,68,14506,0.004687715428098717
79,de 9 700 à 26 791 euros,LOYAL,67,14506,0.004618778436509031
80,de 9 700 à 26 791 euros,PATRIOTE,66,14506,0.004549841444919343
81,de 9 700 à 26 791 euros,ENGAGÉ,63,14506,0.004343030470150283
82,de 9 700 à 26 791 euros,MÉLENCHON,61,14506,0.004205156486970909
83,de 9 700 à 26 791 euros,RASSEMBLEUR,59,14506,0.004067282503791535
84,de 9 700 à 26 791 euros,IRRÉPROCHABLE,59,14506,0.004067282503791535
85,de 9 700 à 26 791 euros,OUVERT,58,14506,0.003998345512201847
86,de 9 700 à 26 791 euros,RESPECTUEUX,57,14506,0.003929408520612161
87,de 9 700 à 26 791 euros,ATTENTIF,54,14506,0.0037225975458430993
88,de 9 700 à 26 791 euros,TRANSPARENT,53,14506,0.0036536605542534122
89,de 9 700 à 26 791 euros,ÉCOLOGISTE,52,14506,0.0035847235626637252
90,de 9 700 à 26 791 euros,CRÉDIBLE,51,14506,0.0035157865710740382
91,de 9 700 à 26 791 euros,DÉMOCRATE,50,14506,0.0034468495794843512
92,de 9 700 à 26 791 euros,SAGE,49,14506,0.003377912587894664
93,de 9 700 à 26 791 euros,UNE FEMME,49,14506,0.003377912587894664
94,de 9 700 à 26 791 euros,CONCRET,48,14506,0.003308975596304977
95,de 9 700 à 26 791 euros,INNOVANT,46,14506,0.003171101613125603
96,de 9 700 à 26 791 euros,EXEMPLAIRE,44,14506,0.003033227629946229
97,de 9 700 à 26 791 euros,CHARISMATIQUE,44,14506,0.003033227629946229
98,de 9 700 à 26 791 euros,NOUVEAU,43,14506,0.002964290638356542
99,de 9 700 à 26 791 euros,COURAGE,42,14506,0.002895353646766855
100,de 26 791 à 71 826 euros,HONNÊTE,2243,12153,0.18456348226775282
101,de 26 791 à 71 826 euros,INTÈGRE,632,12153,0.05200362050522505
102,de 26 791 à 71 826 euros,JUSTE,342,12153,0.028141199703776845
103,de 26 791 à 71 826 euros,HUMAIN,341,12153,0.02805891549411668
104,de 26 791 à 71 826 euros,HONNÊTETÉ,327,12153,0.026906936558874352
105,de 26 791 à 71 826 euros,SINCÈRE,266,12153,0.021887599769604214
106,de 26 791 à 71 826 euros,HUMANISTE,232,12153,0.019089936641158562
107,de 26 791 à 71 826 euros,RÉALISTE,216,12153,0.017773389286595904
108,de 26 791 à 71 826 euros,EFFICACE,209,12153,0.017197399818974737
109,de 26 791 à 71 826 euros,COMPÉTENT,197,12153,0.016209989303052744
110,de 26 791 à 71 826 euros,COURAGEUX,189,12153,0.015551715625771415
111,de 26 791 à 71 826 euros,VISIONNAIRE,183,12153,0.015058010367810418
112,de 26 791 à 71 826 euros,RESPONSABLE,155,12153,0.012754052497325764
113,de 26 791 à 71 826 euros,À L'ÉCOUTE,151,12153,0.012424915658685098
114,de 26 791 à 71 826 euros,PRAGMATIQUE,139,12153,0.011437505142763104
115,de 26 791 à 71 826 euros,ALTRUISTE,135,12153,0.01110836830412244
116,de 26 791 à 71 826 euros,INDÉPENDANT,94,12153,0.007734715708055624
117,de 26 791 à 71 826 euros,INCORRUPTIBLE,94,12153,0.007734715708055624
118,de 26 791 à 71 826 euros,LE PEN,88,12153,0.0072410104500946265
119,de 26 791 à 71 826 euros,CITOYEN,83,12153,0.006829589401793796
120,de 26 791 à 71 826 euros,INTÉGRITÉ,76,12153,0.006253599934172632
121,de 26 791 à 71 826 euros,FRANC,73,12153,0.0060067473051921335
122,de 26 791 à 71 826 euros,DÉSINTÉRESSÉ,71,12153,0.005842178885871801
123,de 26 791 à 71 826 euros,INTELLIGENT,70,12153,0.005759894676211635
124,de 26 791 à 71 826 euros,LOYAL,64,12153,0.005266189418250637
125,de 26 791 à 71 826 euros,MÉLENCHON,63,12153,0.005183905208590471
126,de 26 791 à 71 826 euros,ENGAGÉ,61,12153,0.005019336789270139
127,de 26 791 à 71 826 euros,PATRIOTE,59,12153,0.004854768369949807
128,de 26 791 à 71 826 euros,DROIT,58,12153,0.0047724841602896405
129,de 26 791 à 71 826 euros,HUMBLE,57,12153,0.004690199950629474
130,de 26 791 à 71 826 euros,ATTENTIF,54,12153,0.004443347321648976
131,de 26 791 à 71 826 euros,VRAI,54,12153,0.004443347321648976
132,de 26 791 à 71 826 euros,OUVERT,49,12153,0.004031926273348144
133,de 26 791 à 71 826 euros,ÉCOLOGISTE,49,12153,0.004031926273348144
134,de 26 791 à 71 826 euros,CONCRET,48,12153,0.003949642063687978
135,de 26 791 à 71 826 euros,FIABLE,47,12153,0.003867357854027812
136,de 26 791 à 71 826 euros,BIENVEILLANT,44,12153,0.0036205052250473132
137,de 26 791 à 71 826 euros,UNE FEMME,44,12153,0.0036205052250473132
138,de 26 791 à 71 826 euros,DÉTERMINÉ,43,12153,0.003538221015387147
139,de 26 791 à 71 826 euros,JEUNE,42,12153,0.003455936805726981
140,de 26 791 à 71 826 euros,EXEMPLAIRE,41,12153,0.003373652596066815
141,de 26 791 à 71 826 euros,TRANSPARENT,41,12153,0.003373652596066815
142,de 26 791 à 71 826 euros,RASSEMBLEUR,40,12153,0.0032913683864066487
143,de 26 791 à 71 826 euros,RESPECTUEUX,40,12153,0.0032913683864066487
144,de 26 791 à 71 826 euros,RÉVOLUTIONNAIRE,37,12153,0.00304451575742615
145,de 26 791 à 71 826 euros,DÉMOCRATE,36,12153,0.0029622315477659837
146,de 26 791 à 71 826 euros,SAGE,36,12153,0.0029622315477659837
147,de 26 791 à 71 826 euros,COURAGE,35,12153,0.0028799473381058175
148,de 26 791 à 71 826 euros,NOVATEUR,35,12153,0.0028799473381058175
149,de 26 791 à 71 826 euros,ÉTHIQUE,34,12153,0.0027976631284456514
150,Jusqu'à 9 700 euros,HONNÊTE,930,5183,0.1794327609492572
151,Jusqu'à 9 700 euros,INTÈGRE,292,5183,0.056338028169014086
152,Jusqu'à 9 700 euros,HUMAIN,144,5183,0.027783137179239824
153,Jusqu'à 9 700 euros,JUSTE,142,5183,0.0273972602739726
154,Jusqu'à 9 700 euros,HONNÊTETÉ,117,5183,0.022573798958132357
155,Jusqu'à 9 700 euros,SINCÈRE,106,5183,0.020451475979162647
156,Jusqu'à 9 700 euros,HUMANISTE,104,5183,0.020065599073895428
157,Jusqu'à 9 700 euros,RÉALISTE,90,5183,0.01736446073702489
158,Jusqu'à 9 700 euros,À L'ÉCOUTE,89,5183,0.01717152228439128
159,Jusqu'à 9 700 euros,COURAGEUX,81,5183,0.0156280146633224
160,Jusqu'à 9 700 euros,EFFICACE,79,5183,0.01524213775805518
161,Jusqu'à 9 700 euros,COMPÉTENT,77,5183,0.014856260852787961
162,Jusqu'à 9 700 euros,VISIONNAIRE,75,5183,0.01447038394752074
