,tendance,answer,count,total,value
0,Autre tendance,Non pas du tout,3593,6503,0.552514224204
1,Autre tendance,Non pas vraiment,2594,6503,0.398892818699
2,Autre tendance,Oui plutôt,241,6503,0.0370598185453
3,Autre tendance,Oui tout à fait,75,6503,0.0115331385514
4,Centre,Non pas du tout,696,1886,0.369034994698
5,Centre,Non pas vraiment,1049,1886,0.556203605514
6,Centre,Oui plutôt,120,1886,0.0636267232238
7,Centre,Oui tout à fait,21,1886,0.0111346765642
8,Centre-droite,Non pas du tout,835,2433,0.343197698315
9,Centre-droite,Non pas vraiment,1406,2433,0.577887381833
10,Centre-droite,Oui plutôt,181,2433,0.0743937525688
11,Centre-droite,Oui tout à fait,11,2433,0.00452116728319
12,Centre-gauche,Non pas du tout,974,2869,0.339491111886
13,Centre-gauche,Non pas vraiment,1666,2869,0.580690135936
14,Centre-gauche,Oui plutôt,208,2869,0.0724991286162
15,Centre-gauche,Oui tout à fait,21,2869,0.00731962356222
16,Droite,Non pas du tout,1392,3846,0.361934477379
17,Droite,Non pas vraiment,2081,3846,0.541081643266
18,Droite,Oui plutôt,325,3846,0.0845033801352
19,Droite,Oui tout à fait,48,3846,0.01248049922
20,Extrême droite,Non pas du tout,1231,1914,0.64315569488
21,Extrême droite,Non pas vraiment,592,1914,0.309299895507
22,Extrême droite,Oui plutôt,59,1914,0.0308254963427
23,Extrême droite,Oui tout à fait,32,1914,0.0167189132706
24,Extrême gauche,Non pas du tout,1475,3035,0.485996705107
25,Extrême gauche,Non pas vraiment,1389,3035,0.45766062603
26,Extrême gauche,Oui plutôt,138,3035,0.0454695222405
27,Extrême gauche,Oui tout à fait,33,3035,0.0108731466227
28,Gauche,Non pas du tout,3097,8254,0.375212018415
29,Gauche,Non pas vraiment,4552,8254,0.551490186576
30,Gauche,Oui plutôt,518,8254,0.0627574509329
31,Gauche,Oui tout à fait,87,8254,0.0105403440756
32,Je préfère ne pas répondre,Non pas du tout,2985,6494,0.459655066215
33,Je préfère ne pas répondre,Non pas vraiment,3090,6494,0.475823837388
34,Je préfère ne pas répondre,Oui plutôt,349,6494,0.0537419156144
35,Je préfère ne pas répondre,Oui tout à fait,70,6494,0.0107791807823
36,Écologiste,Non pas du tout,2197,5725,0.383755458515
37,Écologiste,Non pas vraiment,3195,5725,0.55807860262
38,Écologiste,Oui plutôt,283,5725,0.0494323144105
39,Écologiste,Oui tout à fait,50,5725,0.00873362445415
