,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas du tout,201,8337,0.0241093918676
1,20 000 à 100 000 habitants,Non pas vraiment,781,8337,0.0936787813362
2,20 000 à 100 000 habitants,Oui plutôt,3092,8337,0.370876814202
3,20 000 à 100 000 habitants,Oui tout à fait,4263,8337,0.511335012594
4,2000 à 20 000 habitants,Non pas du tout,284,14496,0.019591611479
5,2000 à 20 000 habitants,Non pas vraiment,1227,14496,0.0846440397351
6,2000 à 20 000 habitants,Oui plutôt,5491,14496,0.37879415011
7,2000 à 20 000 habitants,Oui tout à fait,7494,14496,0.516970198675
8,Je préfère ne pas répondre,Non pas du tout,61,1989,0.0306686777275
9,Je préfère ne pas répondre,Non pas vraiment,176,1989,0.088486676722
10,Je préfère ne pas répondre,Oui plutôt,703,1989,0.353443941679
11,Je préfère ne pas répondre,Oui tout à fait,1049,1989,0.527400703871
12,Moins de 2000 habitants,Non pas du tout,229,9396,0.0243720732226
13,Moins de 2000 habitants,Non pas vraiment,752,9396,0.0800340570456
14,Moins de 2000 habitants,Oui plutôt,3448,9396,0.366964665815
15,Moins de 2000 habitants,Oui tout à fait,4967,9396,0.528629203917
16,Plus de 100 000 habitants,Non pas du tout,226,8741,0.0258551653129
17,Plus de 100 000 habitants,Non pas vraiment,916,8741,0.104793501888
18,Plus de 100 000 habitants,Oui plutôt,3345,8741,0.382679327308
19,Plus de 100 000 habitants,Oui tout à fait,4254,8741,0.486672005491
