,profession,answer,count,total,value
0,Agriculteurs exploitants,Non pas du tout,13,308,0.0422077922078
1,Agriculteurs exploitants,Non pas vraiment,37,308,0.12012987013
2,Agriculteurs exploitants,Oui plutôt,115,308,0.373376623377
3,Agriculteurs exploitants,Oui tout à fait,143,308,0.464285714286
4,"Artisans, commerçants et chefs d’entreprise",Non pas du tout,39,2670,0.014606741573
5,"Artisans, commerçants et chefs d’entreprise",Non pas vraiment,151,2670,0.0565543071161
6,"Artisans, commerçants et chefs d’entreprise",Oui plutôt,1018,2670,0.38127340824
7,"Artisans, commerçants et chefs d’entreprise",Oui tout à fait,1462,2670,0.547565543071
8,Autre,Non pas du tout,105,8950,0.0117318435754
9,Autre,Non pas vraiment,437,8950,0.0488268156425
10,Autre,Oui plutôt,3240,8950,0.362011173184
11,Autre,Oui tout à fait,5168,8950,0.577430167598
12,Cadres et professions intellectuelles supérieures,Non pas du tout,174,10170,0.0171091445428
13,Cadres et professions intellectuelles supérieures,Non pas vraiment,661,10170,0.0649950835792
14,Cadres et professions intellectuelles supérieures,Oui plutôt,4205,10170,0.413470993117
15,Cadres et professions intellectuelles supérieures,Oui tout à fait,5130,10170,0.504424778761
16,Employés,Non pas du tout,83,6931,0.0119751839561
17,Employés,Non pas vraiment,421,6931,0.0607415957293
18,Employés,Oui plutôt,2471,6931,0.356514211513
19,Employés,Oui tout à fait,3956,6931,0.570769008801
20,Etudiant,Non pas du tout,81,3489,0.0232158211522
21,Etudiant,Non pas vraiment,316,3489,0.0905703640011
22,Etudiant,Oui plutôt,1274,3489,0.365147606764
23,Etudiant,Oui tout à fait,1818,3489,0.521066208083
24,Je préfère ne pas répondre,Non pas du tout,55,1906,0.0288562434418
25,Je préfère ne pas répondre,Non pas vraiment,143,1906,0.0750262329486
26,Je préfère ne pas répondre,Oui plutôt,715,1906,0.375131164743
27,Je préfère ne pas répondre,Oui tout à fait,993,1906,0.520986358867
28,Lycéen,Non pas du tout,33,961,0.0343392299688
29,Lycéen,Non pas vraiment,131,961,0.136316337149
30,Lycéen,Oui plutôt,331,961,0.344432882414
31,Lycéen,Oui tout à fait,466,961,0.484911550468
32,Ouvriers,Non pas du tout,14,1215,0.0115226337449
33,Ouvriers,Non pas vraiment,78,1215,0.0641975308642
34,Ouvriers,Oui plutôt,432,1215,0.355555555556
35,Ouvriers,Oui tout à fait,691,1215,0.568724279835
36,Professions Intermédiaires,Non pas du tout,41,3674,0.0111594991835
37,Professions Intermédiaires,Non pas vraiment,185,3674,0.050353837779
38,Professions Intermédiaires,Oui plutôt,1496,3674,0.407185628743
39,Professions Intermédiaires,Oui tout à fait,1952,3674,0.531301034295
40,Sans emploi,Non pas du tout,35,2685,0.0130353817505
41,Sans emploi,Non pas vraiment,176,2685,0.0655493482309
42,Sans emploi,Oui plutôt,912,2685,0.339664804469
43,Sans emploi,Oui tout à fait,1562,2685,0.581750465549
