,tendance,answer,count,total,value
0,Autre tendance,Non pas du tout,139,6503,0.0213747501153
1,Autre tendance,Non pas vraiment,384,6503,0.0590496693834
2,Autre tendance,Oui plutôt,2014,6503,0.309703213901
3,Autre tendance,Oui tout à fait,3966,6503,0.6098723666
4,Centre,Non pas du tout,30,1886,0.0159066808059
5,Centre,Non pas vraiment,126,1886,0.0668080593849
6,Centre,Oui plutôt,802,1886,0.425238600212
7,Centre,Oui tout à fait,928,1886,0.492046659597
8,Centre-droite,Non pas du tout,46,2433,0.0189066995479
9,Centre-droite,Non pas vraiment,215,2433,0.088368269626
10,Centre-droite,Oui plutôt,1108,2433,0.455404849979
11,Centre-droite,Oui tout à fait,1064,2433,0.437320180847
12,Centre-gauche,Non pas du tout,34,2869,0.0118508191007
13,Centre-gauche,Non pas vraiment,180,2869,0.0627396305333
14,Centre-gauche,Oui plutôt,1301,2869,0.453468107354
15,Centre-gauche,Oui tout à fait,1354,2869,0.471941443012
16,Droite,Non pas du tout,94,3846,0.0244409776391
17,Droite,Non pas vraiment,327,3846,0.085023400936
18,Droite,Oui plutôt,1641,3846,0.426677067083
19,Droite,Oui tout à fait,1784,3846,0.463858554342
20,Extrême droite,Non pas du tout,42,1914,0.0219435736677
21,Extrême droite,Non pas vraiment,110,1914,0.0574712643678
22,Extrême droite,Oui plutôt,658,1914,0.343782654127
23,Extrême droite,Oui tout à fait,1104,1914,0.576802507837
24,Extrême gauche,Non pas du tout,35,3035,0.0115321252059
25,Extrême gauche,Non pas vraiment,156,3035,0.0514003294893
26,Extrême gauche,Oui plutôt,966,3035,0.318286655684
27,Extrême gauche,Oui tout à fait,1878,3035,0.618780889621
28,Gauche,Non pas du tout,88,8254,0.0106614974558
29,Gauche,Non pas vraiment,499,8254,0.0604555367095
30,Gauche,Oui plutôt,3404,8254,0.41240610613
31,Gauche,Oui tout à fait,4263,8254,0.516476859704
32,Je préfère ne pas répondre,Non pas du tout,123,6494,0.0189405605174
33,Je préfère ne pas répondre,Non pas vraiment,490,6494,0.0754542654758
34,Je préfère ne pas répondre,Oui plutôt,2372,6494,0.365260240222
35,Je préfère ne pas répondre,Oui tout à fait,3509,6494,0.540344933785
36,Écologiste,Non pas du tout,42,5725,0.00733624454148
37,Écologiste,Non pas vraiment,249,5725,0.0434934497817
38,Écologiste,Oui plutôt,1943,5725,0.339388646288
39,Écologiste,Oui tout à fait,3491,5725,0.609781659389
