,sexe,answer,count,total,value
0,Autre,Non pas du tout,11,125,0.088
1,Autre,Non pas vraiment,25,125,0.2
2,Autre,Oui plutôt,41,125,0.328
3,Autre,Oui tout à fait,48,125,0.384
4,Je préfère ne pas répondre,Non pas du tout,78,918,0.0849673202614
5,Je préfère ne pas répondre,Non pas vraiment,214,918,0.23311546841
6,Je préfère ne pas répondre,Oui plutôt,320,918,0.348583877996
7,Je préfère ne pas répondre,Oui tout à fait,306,918,0.333333333333
8,Un homme,Non pas du tout,1744,22659,0.0769672094973
9,Un homme,Non pas vraiment,5444,22659,0.240257734234
10,Un homme,Oui plutôt,8233,22659,0.363343483825
11,Un homme,Oui tout à fait,7238,22659,0.319431572444
12,Une femme,Non pas du tout,989,19256,0.0513606148733
13,Une femme,Non pas vraiment,4330,19256,0.22486497715
14,Une femme,Oui plutôt,7100,19256,0.368716244287
15,Une femme,Oui tout à fait,6837,19256,0.355058163689
