,profession,answer,count,total,value
0,Agriculteurs exploitants,un candidat nouveau dans le monde politique,263,308,0.853896103896
1,Agriculteurs exploitants,un candidat qui a déjà une longue carrière politique derrière lui,45,308,0.146103896104
2,"Artisans, commerçants et chefs d’entreprise",un candidat nouveau dans le monde politique,2261,2670,0.846816479401
3,"Artisans, commerçants et chefs d’entreprise",un candidat qui a déjà une longue carrière politique derrière lui,409,2670,0.153183520599
4,Autre,un candidat nouveau dans le monde politique,7235,8950,0.808379888268
5,Autre,un candidat qui a déjà une longue carrière politique derrière lui,1715,8950,0.191620111732
6,Cadres et professions intellectuelles supérieures,un candidat nouveau dans le monde politique,8260,10170,0.812192723697
7,Cadres et professions intellectuelles supérieures,un candidat qui a déjà une longue carrière politique derrière lui,1910,10170,0.187807276303
8,Employés,un candidat nouveau dans le monde politique,5848,6931,0.843745491271
9,Employés,un candidat qui a déjà une longue carrière politique derrière lui,1083,6931,0.156254508729
10,Etudiant,un candidat nouveau dans le monde politique,2829,3489,0.810834049871
11,Etudiant,un candidat qui a déjà une longue carrière politique derrière lui,660,3489,0.189165950129
12,Je préfère ne pas répondre,un candidat nouveau dans le monde politique,1554,1906,0.815320041973
13,Je préfère ne pas répondre,un candidat qui a déjà une longue carrière politique derrière lui,352,1906,0.184679958027
14,Lycéen,un candidat nouveau dans le monde politique,723,961,0.752341311134
15,Lycéen,un candidat qui a déjà une longue carrière politique derrière lui,238,961,0.247658688866
16,Ouvriers,un candidat nouveau dans le monde politique,977,1215,0.804115226337
17,Ouvriers,un candidat qui a déjà une longue carrière politique derrière lui,238,1215,0.195884773663
18,Professions Intermédiaires,un candidat nouveau dans le monde politique,3101,3674,0.844039194339
19,Professions Intermédiaires,un candidat qui a déjà une longue carrière politique derrière lui,573,3674,0.155960805661
20,Sans emploi,un candidat nouveau dans le monde politique,2234,2685,0.832029795158
21,Sans emploi,un candidat qui a déjà une longue carrière politique derrière lui,451,2685,0.167970204842
