,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,un candidat nouveau dans le monde politique,6787,8337,0.814081804006
1,20 000 à 100 000 habitants,un candidat qui a déjà une longue carrière politique derrière lui,1550,8337,0.185918195994
2,2000 à 20 000 habitants,un candidat nouveau dans le monde politique,11903,14496,0.821123068433
3,2000 à 20 000 habitants,un candidat qui a déjà une longue carrière politique derrière lui,2593,14496,0.178876931567
4,Je préfère ne pas répondre,un candidat nouveau dans le monde politique,1585,1989,0.796882855706
5,Je préfère ne pas répondre,un candidat qui a déjà une longue carrière politique derrière lui,404,1989,0.203117144294
6,Moins de 2000 habitants,un candidat nouveau dans le monde politique,7904,9396,0.841209025117
7,Moins de 2000 habitants,un candidat qui a déjà une longue carrière politique derrière lui,1492,9396,0.158790974883
8,Plus de 100 000 habitants,un candidat nouveau dans le monde politique,7106,8741,0.812950463334
9,Plus de 100 000 habitants,un candidat qui a déjà une longue carrière politique derrière lui,1635,8741,0.187049536666
